,SEQN,milk_type_dummy,milk_product_consumption_freq_dummy,eat_outside,ready_to_eat_food,frozen_food
0,51624.0,10.0,2.0,1.0,5.397605346934028e-79,8.0
1,51625.0,30.0,3.0,5.397605346934028e-79,2.0,5.397605346934028e-79
2,51626.0,10.0,2.0,5.397605346934028e-79,2.0,5.397605346934028e-79
3,51627.0,10.0,3.0,2.0,5.397605346934028e-79,3.0
4,51628.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
5,51629.0,10.0,3.0,3.0,5.397605346934028e-79,4.0
6,51630.0,11.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
7,51631.0,10.0,3.0,1.0,5.397605346934028e-79,3.0
8,51632.0,11.0,2.0,1.0,5.397605346934028e-79,1.0
9,51633.0,12.0,3.0,1.0,5.397605346934028e-79,2.0
10,51634.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
11,51635.0,12.0,3.0,1.0,5.397605346934028e-79,17.0
12,51636.0,10.0,3.0,1.0,5.397605346934028e-79,6.0
13,51637.0,11.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
14,51638.0,10.0,3.0,1.0,5.397605346934028e-79,1.0
15,51639.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
16,51640.0,10.0,3.0,2.0,5.397605346934028e-79,1.0
17,51641.0,12.0,3.0,5.0,5.397605346934028e-79,5.0
18,51642.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
19,51643.0,30.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
20,51644.0,,,,,
21,51645.0,11.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
22,51646.0,12.0,3.0,5.0,5.397605346934028e-79,4.0
23,51647.0,13.0,2.0,19.0,5.0,5.397605346934028e-79
24,51648.0,11.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
25,51649.0,10.0,3.0,5.0,5.397605346934028e-79,4.0
26,51650.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
27,51651.0,11.0,3.0,1.0,5.397605346934028e-79,5.0
28,51652.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
29,51653.0,11.0,3.0,7.0,12.0,3.0
30,51654.0,14.0,3.0,1.0,5.397605346934028e-79,2.0
31,51655.0,11.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
32,51656.0,13.0,2.0,9.0,2.0,5.397605346934028e-79
33,51657.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
34,51658.0,10.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
35,51659.0,12.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
36,51660.0,10.0,2.0,7.0,5.397605346934028e-79,5.397605346934028e-79
37,51661.0,11.0,2.0,5.397605346934028e-79,2.0,5.397605346934028e-79
38,51662.0,10.0,1.0,5.0,1.0,5.397605346934028e-79
39,51663.0,10.0,3.0,1.0,5.397605346934028e-79,4.0
40,51664.0,11.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
41,51665.0,11.0,3.0,2.0,8.0,4.0
42,51666.0,11.0,2.0,2.0,1.0,5.397605346934028e-79
43,51667.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
44,51668.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
45,51669.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
46,51670.0,13.0,2.0,4.0,5.397605346934028e-79,4.0
47,51671.0,11.0,2.0,1.0,5.397605346934028e-79,2.0
48,51672.0,11.0,3.0,5.397605346934028e-79,4.0,5.397605346934028e-79
49,51673.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
50,51674.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
51,51675.0,,5.397605346934028e-79,5.397605346934028e-79,2.0,5.397605346934028e-79
52,51676.0,,5.397605346934028e-79,2.0,1.0,1.0
53,51677.0,10.0,3.0,2.0,5.397605346934028e-79,8.0
54,51678.0,10.0,1.0,5.0,5.397605346934028e-79,8.0
55,51679.0,10.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
56,51680.0,10.0,3.0,4.0,5.397605346934028e-79,2.0
57,51681.0,10.0,3.0,3.0,5.397605346934028e-79,4.0
58,51682.0,12.0,3.0,4.0,5.397605346934028e-79,2.0
59,51683.0,30.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
60,51684.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
61,51685.0,12.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
62,51686.0,10.0,3.0,1.0,3.0,5.397605346934028e-79
63,51687.0,13.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
64,51688.0,,,,,
65,51689.0,11.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
66,51690.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
67,51691.0,13.0,3.0,2.0,5.397605346934028e-79,1.0
68,51692.0,12.0,2.0,7.0,5.397605346934028e-79,5.397605346934028e-79
69,51693.0,13.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
70,51694.0,11.0,3.0,1.0,5.397605346934028e-79,2.0
71,51695.0,11.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
72,51696.0,13.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
73,51697.0,10.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
74,51698.0,11.0,2.0,1.0,5.397605346934028e-79,1.0
75,51699.0,10.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
76,51700.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
77,51701.0,11.0,1.0,1.0,2.0,4.0
78,51702.0,12.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
79,51703.0,,5.397605346934028e-79,5.0,5.397605346934028e-79,5.397605346934028e-79
80,51704.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
81,51705.0,11.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
82,51706.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
83,51707.0,10.0,2.0,2.0,1.0,5.397605346934028e-79
84,51708.0,11.0,1.0,3.0,5.0,14.0
85,51709.0,11.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79
86,51710.0,11.0,2.0,7.0,2.0,3.0
87,51711.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
88,51712.0,30.0,3.0,1.0,5.397605346934028e-79,8.0
89,51713.0,11.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
90,51714.0,11.0,3.0,7.0,5.397605346934028e-79,12.0
91,51715.0,10.0,1.0,6.0,1.0,1.0
92,51716.0,12.0,2.0,4.0,2.0,3.0
93,51717.0,,,,,
94,51718.0,11.0,2.0,2.0,4.0,17.0
95,51719.0,14.0,2.0,12.0,1.0,5.397605346934028e-79
96,51720.0,12.0,3.0,2.0,2.0,3.0
97,51721.0,10.0,3.0,5.397605346934028e-79,2.0,5.397605346934028e-79
98,51722.0,11.0,3.0,2.0,5.397605346934028e-79,8.0
99,51723.0,11.0,2.0,1.0,5.397605346934028e-79,30.0
100,51724.0,10.0,1.0,2.0,5.397605346934028e-79,5.397605346934028e-79
101,51725.0,11.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79
102,51726.0,11.0,3.0,6.0,5.397605346934028e-79,17.0
103,51727.0,11.0,1.0,5.397605346934028e-79,7.0,5.0
104,51728.0,11.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
105,51729.0,10.0,3.0,2.0,2.0,5.397605346934028e-79
106,51730.0,,5.397605346934028e-79,5.0,5.397605346934028e-79,5.397605346934028e-79
107,51731.0,12.0,2.0,2.0,4.0,4.0
108,51732.0,11.0,2.0,4.0,5.397605346934028e-79,6.0
109,51733.0,10.0,2.0,3.0,7.0,3.0
110,51734.0,11.0,3.0,4.0,5.397605346934028e-79,10.0
111,51735.0,,5.397605346934028e-79,3.0,5.397605346934028e-79,5.397605346934028e-79
112,51736.0,10.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
113,51737.0,11.0,3.0,7.0,5.397605346934028e-79,5.397605346934028e-79
114,51738.0,,5.397605346934028e-79,5.397605346934028e-79,21.0,5.397605346934028e-79
115,51739.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
116,51740.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
117,51741.0,10.0,1.0,5.0,150.0,5.397605346934028e-79
118,51742.0,12.0,3.0,3.0,5.397605346934028e-79,1.0
119,51743.0,10.0,3.0,3.0,6.0,5.397605346934028e-79
120,51744.0,11.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
121,51745.0,13.0,3.0,2.0,1.0,8.0
122,51746.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79
123,51747.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
124,51748.0,11.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
125,51749.0,10.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
126,51750.0,11.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
127,51751.0,11.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
128,51752.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,3.0
129,51753.0,30.0,2.0,3.0,2.0,5.397605346934028e-79
130,51754.0,,5.397605346934028e-79,3.0,5.0,4.0
131,51755.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
132,51756.0,,5.397605346934028e-79,7.0,5.397605346934028e-79,5.397605346934028e-79
133,51757.0,12.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
134,51758.0,13.0,3.0,5.0,5.397605346934028e-79,5.0
135,51759.0,12.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
136,51760.0,30.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
137,51761.0,10.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
138,51762.0,10.0,2.0,3.0,5.397605346934028e-79,6.0
139,51763.0,10.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79
140,51764.0,,5.397605346934028e-79,6.0,5.397605346934028e-79,20.0
141,51765.0,12.0,2.0,3.0,5.397605346934028e-79,8.0
142,51766.0,,5.397605346934028e-79,5.0,5.397605346934028e-79,1.0
143,51767.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
144,51768.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,10.0
145,51769.0,10.0,1.0,5.397605346934028e-79,10.0,3.0
146,51770.0,11.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0
147,51771.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
148,51772.0,11.0,2.0,9.0,5.397605346934028e-79,5.397605346934028e-79
149,51773.0,11.0,3.0,3.0,5.397605346934028e-79,3.0
150,51774.0,11.0,1.0,14.0,2.0,4.0
151,51775.0,10.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
152,51776.0,10.0,2.0,2.0,9.0,5.397605346934028e-79
153,51777.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
154,51778.0,11.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
155,51779.0,11.0,1.0,10.0,5.397605346934028e-79,2.0
156,51780.0,,5.397605346934028e-79,9.0,7.0,15.0
157,51781.0,11.0,3.0,14.0,5.397605346934028e-79,4.0
158,51782.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79
159,51783.0,10.0,2.0,5.397605346934028e-79,4.0,7.0
160,51784.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79
161,51785.0,10.0,2.0,2.0,5.397605346934028e-79,2.0
162,51786.0,,,,,
163,51787.0,12.0,3.0,4.0,20.0,15.0
164,51788.0,13.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
165,51789.0,11.0,2.0,5.0,5.397605346934028e-79,5.397605346934028e-79
166,51790.0,10.0,3.0,1.0,5.397605346934028e-79,1.0
167,51791.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
168,51792.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
169,51793.0,,5.397605346934028e-79,3.0,15.0,5.397605346934028e-79
170,51794.0,13.0,2.0,6.0,5.0,3.0
171,51795.0,12.0,2.0,3.0,5.397605346934028e-79,1.0
172,51796.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,1.0
173,51797.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
174,51798.0,13.0,1.0,5.0,5.397605346934028e-79,2.0
175,51799.0,11.0,1.0,2.0,,5.397605346934028e-79
176,51800.0,10.0,3.0,2.0,5.397605346934028e-79,1.0
177,51801.0,10.0,1.0,10.0,5.0,10.0
178,51802.0,10.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
179,51803.0,,5.397605346934028e-79,4.0,5.397605346934028e-79,5.397605346934028e-79
180,51804.0,12.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
181,51805.0,30.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
182,51806.0,14.0,2.0,5.397605346934028e-79,5.397605346934028e-79,17.0
183,51807.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
184,51808.0,10.0,3.0,7.0,2.0,4.0
185,51809.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79
186,51810.0,13.0,2.0,2.0,5.397605346934028e-79,5.0
187,51811.0,11.0,3.0,2.0,5.397605346934028e-79,3.0
188,51812.0,11.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
189,51813.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
190,51814.0,10.0,3.0,3.0,10.0,5.397605346934028e-79
191,51815.0,12.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
192,51816.0,10.0,2.0,7.0,5.397605346934028e-79,5.397605346934028e-79
193,51817.0,13.0,3.0,5.397605346934028e-79,5.397605346934028e-79,8.0
194,51818.0,11.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79
195,51819.0,12.0,3.0,8.0,5.397605346934028e-79,20.0
196,51820.0,11.0,1.0,1.0,1.0,5.397605346934028e-79
197,51821.0,10.0,3.0,14.0,5.397605346934028e-79,5.397605346934028e-79
198,51822.0,11.0,3.0,3.0,2.0,2.0
199,51823.0,13.0,1.0,1.0,5.397605346934028e-79,1.0
200,51824.0,11.0,3.0,3.0,5.397605346934028e-79,2.0
201,51825.0,10.0,3.0,1.0,3.0,5.397605346934028e-79
202,51826.0,11.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
203,51827.0,10.0,3.0,2.0,5.397605346934028e-79,5.0
204,51828.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
205,51829.0,13.0,2.0,3.0,2.0,1.0
206,51830.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
207,51831.0,10.0,1.0,4.0,5.397605346934028e-79,5.397605346934028e-79
208,51832.0,,5.397605346934028e-79,5.0,5.397605346934028e-79,5.397605346934028e-79
209,51833.0,10.0,1.0,3.0,5.397605346934028e-79,7.0
210,51834.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
211,51835.0,11.0,3.0,1.0,5.397605346934028e-79,8.0
212,51836.0,,5.397605346934028e-79,6.0,5.397605346934028e-79,5.397605346934028e-79
213,51837.0,10.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
214,51838.0,12.0,3.0,2.0,5.397605346934028e-79,2.0
215,51839.0,13.0,3.0,4.0,4.0,5.397605346934028e-79
216,51840.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
217,51841.0,10.0,2.0,1.0,1.0,10.0
218,51842.0,11.0,2.0,4.0,5.397605346934028e-79,1.0
219,51843.0,30.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
220,51844.0,10.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
221,51845.0,11.0,1.0,7.0,12.0,4.0
222,51846.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0
223,51847.0,10.0,3.0,2.0,5.397605346934028e-79,4.0
224,51848.0,11.0,2.0,10.0,5.397605346934028e-79,5.397605346934028e-79
225,51849.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
226,51850.0,10.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
227,51851.0,11.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79
228,51852.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,2.0
229,51853.0,13.0,2.0,3.0,5.397605346934028e-79,2.0
230,51854.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
231,51855.0,10.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
232,51856.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79
233,51857.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,20.0
